intensidade_som;sinal_luz;som_normalizado;luz_normalizado;soma;risco_ambiente;;;;;
4;497;0,396039604;5,237020316;5,63305992;1;;;;;
4;497;0,396039604;5,237020316;5,63305992;1;;;;;
3;504;0,297029703;5,316027088;5,613056791;1;;;;;
56;39;5,544554455;0,06772009;5,612274546;1;;;;;
3;502;0,297029703;5,293453725;5,590483428;1;;;;;
2;510;0,198019802;5,383747178;5,58176698;1;;;;;
2;510;0,198019802;5,383747178;5,58176698;1;;;;;
48;106;4,752475248;0,823927765;5,576403013;1;;;;;
2;507;0,198019802;5,349887133;5,547906935;1;;;;;
19;356;1,881188119;3,645598194;5,526786313;1;;;;;
2;505;0,198019802;5,32731377;5,525333572;1;;;;;
3;496;0,297029703;5,225733634;5,522763337;1;;;;;
4;487;0,396039604;5,124153499;5,520193103;1;;;;;
1;512;0,099009901;5,406320542;5,505330443;1;;;;;
2;503;0,198019802;5,304740406;5,502760208;1;;;;;
1;511;0,099009901;5,39503386;5,494043761;1;;;;;
1;511;0,099009901;5,39503386;5,494043761;1;;;;;
1;511;0,099009901;5,39503386;5,494043761;1;;;;;
3;492;0,297029703;5,180586907;5,47761661;1;;;;;
4;483;0,396039604;5,079006772;5,475046376;1;;;;;
1;508;0,099009901;5,361173815;5,460183716;1;;;;;
1;507;0,099009901;5,349887133;5,448897034;1;;;;;
6;463;0,594059406;4,853273138;5,447332544;1;;;;;
10;427;0,99009901;4,446952596;5,437051606;1;;;;;
1;504;0,099009901;5,316027088;5,415036989;1;;;;;
1;503;0,099009901;5,304740406;5,403750307;1;;;;;
2;493;0,198019802;5,191873589;5,389893391;1;;;;;
4;474;0,396039604;4,977426637;5,373466241;1;;;;;
1;500;0,099009901;5,270880361;5,369890262;1;;;;;
19;341;1,881188119;3,476297968;5,357486087;1;;;;;
13;392;1,287128713;4,051918736;5,339047449;1;;;;;
3;479;0,297029703;5,033860045;5,330889748;1;;;;;
1;496;0,099009901;5,225733634;5,324743535;1;;;;;
1;495;0,099009901;5,214446953;5,313456854;1;;;;;
3;477;0,297029703;5,011286682;5,308316385;1;;;;;
53;38;5,247524752;0,056433409;5,303958161;1;;;;;
2;485;0,198019802;5,101580135;5,299599937;1;;;;;
1;492;0,099009901;5,180586907;5,279596808;1;;;;;
1;492;0,099009901;5,180586907;5,279596808;1;;;;;
1;491;0,099009901;5,169300226;5,268310127;1;;;;;
2;482;0,198019802;5,06772009;5,265739892;1;;;;;
4;463;0,396039604;4,853273138;5,249312742;1;;;;;
45;103;4,455445545;0,79006772;5,245513265;1;;;;;
1;488;0,099009901;5,135440181;5,234450082;1;;;;;
1;488;0,099009901;5,135440181;5,234450082;1;;;;;
21;312;2,079207921;3,148984199;5,228192119;1;;;;;
1;487;0,099009901;5,124153499;5,2231634;1;;;;;
1;486;0,099009901;5,112866817;5,211876718;1;;;;;
17;345;1,683168317;3,521444695;5,204613012;1;;;;;
3;467;0,297029703;4,898419865;5,195449568;1;;;;;
3;462;0,297029703;4,841986456;5,139016159;1;;;;;
1;479;0,099009901;5,033860045;5,132869946;1;;;;;
3;461;0,297029703;4,830699774;5,127729477;1;;;;;
1;478;0,099009901;5,022573363;5,121583264;1;;;;;
1;478;0,099009901;5,022573363;5,121583264;1;;;;;
2;463;0,198019802;4,853273138;5,05129294;1;;;;;
3;454;0,297029703;4,751693002;5,048722705;1;;;;;
1;471;0,099009901;4,943566591;5,042576492;1;;;;;
3;453;0,297029703;4,740406321;5,037436024;1;;;;;
1;470;0,099009901;4,93227991;5,031289811;1;;;;;
2;461;0,198019802;4,830699774;5,028719576;1;;;;;
1;469;0,099009901;4,920993228;5,020003129;1;;;;;
3;450;0,297029703;4,706546275;5,003575978;1;;;;;
1;464;0,099009901;4,864559819;4,96356972;0;;;;;
1;461;0,099009901;4,830699774;4,929709675;0;;;;;
18;311;1,782178218;3,137697517;4,919875735;0;;;;;
1;460;0,099009901;4,819413093;4,918422994;0;;;;;
17;318;1,683168317;3,216704289;4,899872606;0;;;;;
1;458;0,099009901;4,796839729;4,89584963;0;;;;;
1;456;0,099009901;4,774266366;4,873276267;0;;;;;
1;456;0,099009901;4,774266366;4,873276267;0;;;;;
1;454;0,099009901;4,751693002;4,850702903;0;;;;;
1;454;0,099009901;4,751693002;4,850702903;0;;;;;
1;454;0,099009901;4,751693002;4,850702903;0;;;;;
10;375;0,99009901;3,860045147;4,850144157;0;;;;;
1;452;0,099009901;4,729119639;4,82812954;0;;;;;
2;440;0,198019802;4,593679458;4,79169926;0;;;;;
3;429;0,297029703;4,469525959;4,766555662;0;;;;;
8;385;0,792079208;3,972911964;4,764991172;0;;;;;
15;320;1,485148515;3,239277652;4,724426167;0;;;;;
39;107;3,861386139;0,835214447;4,696600586;0;;;;;
5;403;0,495049505;4,176072235;4,67112174;0;;;;;
12;339;1,188118812;3,453724605;4,641843417;0;;;;;
8;333;0,792079208;3,386004515;4,178083723;0;;;;;
4;364;0,396039604;3,735891648;4,131931252;0;;;;;
6;341;0,594059406;3,476297968;4,070357374;0;;;;;
7;331;0,693069307;3,363431151;4,056500458;0;;;;;
32;107;3,168316832;0,835214447;4,003531279;0;;;;;
9;308;0,891089109;3,103837472;3,994926581;0;;;;;
2;366;0,198019802;3,758465011;3,956484813;0;;;;;
6;328;0,594059406;3,329571106;3,923630512;0;;;;;
6;317;0,594059406;3,205417607;3,799477013;0;;;;;
2;343;0,198019802;3,498871332;3,696891134;0;;;;;
0;357;0;3,656884876;3,656884876;0;;;;;
1;347;0,099009901;3,544018059;3,64302796;0;;;;;
30;91;2,97029703;0,65462754;3,624924569;0;;;;;
3;309;0,297029703;3,115124153;3,412153856;0;;;;;
27;93;2,673267327;0,677200903;3,35046823;0;;;;;
2;307;0,198019802;3,09255079;3,290570592;0;;;;;
25;104;2,475247525;0,801354402;3,276601927;0;;;;;
32;38;3,168316832;0,056433409;3,22475024;0;;;;;
30;38;2,97029703;0,056433409;3,026730438;0;;;;;
22;108;2,178217822;0,846501129;3,02471895;0;;;;;
22;106;2,178217822;0,823927765;3,002145587;0;;;;;
14;140;1,386138614;1,207674944;2,593813557;0;;;;;
24;38;2,376237624;0,056433409;2,432671032;0;;;;;
23;38;2,277227723;0,056433409;2,333661131;0;;;;;
22;38;2,178217822;0,056433409;2,23465123;0;;;;;
21;38;2,079207921;0,056433409;2,135641329;0;;;;;
21;38;2,079207921;0,056433409;2,135641329;0;;;;;
14;92;1,386138614;0,665914221;2,052052835;0;;;;;
5;161;0,495049505;1,44469526;1,939744765;0;;;;;
19;38;1,881188119;0,056433409;1,937621527;0;;;;;
7;137;0,693069307;1,173814898;1,866884205;0;;;;;
5;150;0,495049505;1,320541761;1,815591266;0;;;;;
17;43;1,683168317;0,112866817;1,796035134;0;;;;;
12;86;1,188118812;0,598194131;1,786312943;0;;;;;
11;92;1,089108911;0,665914221;1,755023132;0;;;;;
17;39;1,683168317;0,06772009;1,750888407;0;;;;;
16;44;1,584158416;0,124153499;1,708311915;0;;;;;
8;104;0,792079208;0,801354402;1,59343361;0;;;;;
8;83;0,792079208;0,564334086;1,356413294;0;;;;;
12;38;1,188118812;0,056433409;1,24455222;0;;;;;
4;101;0,396039604;0,767494357;1,163533961;0;;;;;
11;38;1,089108911;0,056433409;1,145542319;0;;;;;
10;42;0,99009901;0,101580135;1,091679145;0;;;;;
10;39;0,99009901;0,06772009;1,0578191;0;;;;;
5;80;0,495049505;0,530474041;1,025523546;0;;;;;
9;42;0,891089109;0,101580135;0,992669244;0;;;;;
9;40;0,891089109;0,079006772;0,970095881;0;;;;;
9;36;0,891089109;0,033860045;0,924949154;0;;;;;
7;46;0,693069307;0,146726862;0,839796169;0;;;;;
7;45;0,693069307;0,135440181;0,828509488;0;;;;;
4;68;0,396039604;0,39503386;0,791073464;0;;;;;
7;39;0,693069307;0,06772009;0,760789397;0;;;;;
5;56;0,495049505;0,259593679;0,754643184;0;;;;;
5;52;0,495049505;0,214446953;0,709496458;0;;;;;
6;38;0,594059406;0,056433409;0,650492815;0;;;;;
5;43;0,495049505;0,112866817;0,607916322;0;;;;;
5;41;0,495049505;0,090293454;0,585342959;0;;;;;
5;40;0,495049505;0,079006772;0,574056277;0;;;;;
4;48;0,396039604;0,169300226;0,56533983;0;;;;;
4;48;0,396039604;0,169300226;0,56533983;0;;;;;
5;38;0,495049505;0,056433409;0,551482914;0;;;;;
4;46;0,396039604;0,146726862;0,542766466;0;;;;;
4;46;0,396039604;0,146726862;0,542766466;0;;;;;
0;81;0;0,541760722;0,541760722;0;;;;;
5;37;0,495049505;0,045146727;0,540196232;0;;;;;
5;35;0,495049505;0,022573363;0,517622868;0;;;;;
5;35;0,495049505;0,022573363;0,517622868;0;;;;;
5;35;0,495049505;0,022573363;0,517622868;0;;;;;
5;35;0,495049505;0,022573363;0,517622868;0;;;;;
5;35;0,495049505;0,022573363;0,517622868;0;;;;;
5;35;0,495049505;0,022573363;0,517622868;0;;;;;
4;38;0,396039604;0,056433409;0,452473013;0;;;;;
4;38;0,396039604;0,056433409;0,452473013;0;;;;;
4;35;0,396039604;0,022573363;0,418612967;0;;;;;
4;35;0,396039604;0,022573363;0,418612967;0;;;;;
3;42;0,297029703;0,101580135;0,398609838;0;;;;;
3;40;0,297029703;0,079006772;0,376036475;0;;;;;
3;38;0,297029703;0,056433409;0,353463112;0;;;;;
3;36;0,297029703;0,033860045;0,330889748;0;;;;;
3;36;0,297029703;0,033860045;0,330889748;0;;;;;
1;53;0,099009901;0,225733634;0,324743535;0;;;;;
1;53;0,099009901;0,225733634;0,324743535;0;;;;;
3;35;0,297029703;0,022573363;0,319603066;0;;;;;
3;35;0,297029703;0,022573363;0,319603066;0;;;;;
3;35;0,297029703;0,022573363;0,319603066;0;;;;;
3;35;0,297029703;0,022573363;0,319603066;0;;;;;
3;35;0,297029703;0,022573363;0,319603066;0;;;;;
3;34;0,297029703;0,011286682;0,308316385;0;;;;;
3;34;0,297029703;0,011286682;0,308316385;0;;;;;
3;33;0,297029703;0;0,297029703;0;;;;;
3;33;0,297029703;0;0,297029703;0;;;;;
2;35;0,198019802;0,022573363;0,220593165;0;;;;;
2;35;0,198019802;0,022573363;0,220593165;0;;;;;
1;42;0,099009901;0,101580135;0,200590036;0;;;;;
1;38;0,099009901;0,056433409;0,15544331;0;;;;;
1;35;0,099009901;0,022573363;0,121583264;0;;;;;
0;38;0;0,056433409;0,056433409;0;;;;;
